number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23
82,Malta,0,0,0,2293,NA,6,NA,30.9,7.1,31748.16114228892,5.404201344653403,1.0978264089903211,31.091667036525912,11.23872309482488
83,Netherlands,1,1,1,7689,13177,3.6,1.4,25.8,10.7,26474.468223655505,2.7952816245775614,0.7975665704371915,24.711161525920037,11.161266342807354
84,Norway,1,1,1,7938,19723,4.3,0.7,29.1,10,31665.50809108345,2.9736171494015418,0.7368262710262474,28.890044917352498,11.39797185111992
85,Portugal,1,1,1,2272,5827,4.4,0.6,22.5,5.8,12463.453318414406,3.032722976357971,0.2862442327042025,25.040879845619195,9.770226424007415
86,Spain,1,1,1,3766,9903,4.9,1,17.7,8,17193.571444013767,3.236414717148306,0.7778027641682117,25.797407771460712,8.936719615187128
87,Sweden,1,1,1,7802,15237,3.1,0.4,24.5,7.9,26637.099419530543,2.431568932239836,0.45441925265159444,28.124964586459107,11.155976892026093
88,Switzerland,1,1,1,10308,15881,2.5,0.8,29.7,4.8,23644.91192319758,2.1440103809583055,0.8067650744394861,35.35022367723286,10.94234795735117
89,Turkey,1,1,1,2274,4444,5.2,2.5,20.2,5.5,11176.675779239307,4.762141048418389,2.1475190251870613,24.572047591209415,16.413403904450288
90,United Kingdom,1,1,1,7634,13331,2.5,0.3,18.4,8.9,23787.607105058443,2.213624266317349,0.3861709671798996,22.376964194700122,12.903213060761514
91,Barbados,0,0,0,3165,NA,4.8,NA,19.5,12.1,9093.847312596297,2.2275946718570694,0.5292321636380048,16.18250863975845,13.463263558207403
92,Canada,1,1,1,10286,17935,4.2,2,23.3,10.6,26340.354183698528,2.98703100841875,1.4612932992453587,24.378078826703135,10.410131407570484
93,Costa Rica,1,1,0,3360,4492,4.7,3.5,14.7,7,9877.293803576158,4.438911958243774,2.666563670026334,14.787720155436546,11.94576336657529
94,Dominican Rep.,1,1,0,1939,3308,5.1,2.9,17.1,5.8,9489.430593582594,5.08614057734087,2.47039751334186,20.278745779069148,13.57901637530045
95,El Salvador,1,1,0,2042,1997,3.3,3.3,8,3.9,3600.8438162894627,2.651645798531388,1.7315408200153204,12.678641057573259,11.422431505901233
96,Guatemala,1,1,0,2481,3034,3.9,3.1,8.8,2.4,4768.716438910811,3.8156322102661067,2.7444548513753553,13.732311467174437,7.942821912033576
