iso3c,country,ln_pl_i_23,alpha_23,g_meas_23,delta_23
EGY,Egypt,-0.17806691915037304,0.6174436835572121,-0.0011642471111844577,0.06330271327169612
ESP,Spain,-0.9030771738096218,0.36357138492166996,0.00893029240792198,0.03349953086581082
ETH,Ethiopia,-0.8905758357587664,NaN,NA,0.03783595148706809
FIN,Finland,-0.6496703787012033,0.3822315465658903,0.009726861776850892,0.0362214035121724
FJI,Fiji,-1.1193363415251054,0.4521276151592082,-0.0032282933279118575,0.08924044424202295
FRA,France,-0.6545589453840318,0.3365123961120843,0.009878523717111953,0.030139481998048723
GAB,Gabon,-0.3123758368439758,0.6325705326162279,-0.008410057895243739,0.04624963679816574
GBR,United Kingdom,-0.7123772495120974,0.4017871683463454,0.0046262349131804825,0.03682341543026269
GHA,Ghana,-1.5884820308515322,NaN,NA,0.05806625721743331
GIN,Guinea,-1.0969526735647823,0.6949685507199979,NA,0.04706864908803255
GMB,Gambia,-1.0097981413724437,NaN,NA,0.036600170424208045
GRC,Greece,-0.9528616936120713,0.4870581212453544,0.005279596391055463,0.026123714662389837
GTM,Guatemala,-1.1808859757186834,0.5386238438077271,-5.676006714853132e-4,0.040506336488761015
GUY,Guyana,-1.0464261409491906,NaN,NA,NaN
HKG,"China, Hong Kong SAR",-0.8731549345948613,0.5159413465298713,0.006843511900930244,0.027680760773364458
HND,Honduras,-1.1271404190808,0.4150463265401346,-0.0044510700723310315,0.052720645791850984
HTI,Haiti,-1.857426682736366,NaN,NA,0.01621523038193119
IDN,Indonesia,-1.4206717339380013,0.4924507336691023,0.0033853653583586496,0.038416661816881977
IND,India,-1.4331766946667985,0.35918819531798374,0.006318644517991245,0.04162886086851359
IRL,Ireland,-0.7938586604666132,0.45906312065199006,0.017455311130328832,0.04192816332215444
IRN,Iran (Islamic Republic of),-0.9396525412637924,0.5950371441431341,-0.018045121792850338,0.044455738738179214
IRQ,Iraq,-1.5013663805589816,0.8002330666338958,-0.009474519666387127,0.05398617312312126
ISL,Iceland,-0.675502618560704,0.34244950395077434,0.009678203712753186,0.03201371181057766
ISR,Israel,-0.7683705800453517,0.46808736398816086,0.0037792006347030505,0.037940800859360024
ITA,Italy,-0.899271722138442,0.43792701978236426,0.003849859306129133,0.03423259328701534
JAM,Jamaica,-0.7732034133619213,0.4351177639327942,-0.0026526881578372574,0.03300120093626902
JOR,Jordan,-1.2306553024466655,0.5187333505600691,-0.01259639803549184,0.03585746555472725
JPN,Japan,-0.5272388610540362,0.43476542457938183,0.006207145832267447,0.036759760259883485
KEN,Kenya,-1.0582970017840945,0.47975588869303454,-3.458005848631096e-4,0.04529850569088013
KOR,Republic of Korea,-1.044060872484505,0.4996811570599675,0.013466353615033455,0.041970961581682786
KWT,Kuwait,-1.2874760666902965,0.764359560277727,-0.04803252628612087,0.06052331171101994
LBR,Liberia,-1.0397684921660337,NaN,NA,0.05420689259966215
LKA,Sri Lanka,-1.5167932566784403,0.5939555303193629,0.0032604210022662006,0.07407848961884156
LSO,Lesotho,-1.1927517621536199,0.31823406175330826,0.002646164106195892,0.05398465599864722
LUX,Luxembourg,-0.7295273629430417,0.496317175682634,3.741150093119483e-4,0.038708408101229004
MAR,Morocco,-0.9989572753921702,0.4860127214342356,0.007465576435484733,0.04213175529730507
MDG,Madagascar,-0.7622034540046896,NaN,NA,0.03981683787424118
MEX,Mexico,-0.9788136192609114,0.6250548814423382,-0.007039862201522307,0.03476783481892199
MLI,Mali,-0.8387296235569904,NaN,NA,0.06460935197537765
MLT,Malta,-1.0607162912925718,0.42963528027758,0.010314376611959553,0.06667020602617413
MMR,Myanmar,-1.1415433384442115,NaN,NA,0.07153854939726093
MOZ,Mozambique,-0.7837489614433935,0.5285155046731235,-4.0860788401198e-4,0.05025062576169148
MRT,Mauritania,-1.4225071836889023,0.5291835367679598,-0.003440365513943666,0.03970400826074183
MUS,Mauritius,-1.040713385271219,0.5131062744185331,0.0033749032002701185,0.045649355859495706
MWI,Malawi,-1.0702603662191004,NaN,NA,0.05565378797473386
MYS,Malaysia,-1.4216249912647805,0.6755773834884169,-0.00479363763939733,0.04449933356954716
NER,Niger,-1.3403232669274516,0.5199145893566312,-6.476017795450373e-4,0.03374451250419952
NGA,Nigeria,-0.5466746091601968,0.6789092230610548,-0.0070365729150129175,0.02946598210837692
NIC,Nicaragua,-1.5068408923400238,0.4606516821817914,-0.011939878192425368,0.036438017181353644
NLD,Netherlands,-0.6588517759192786,0.3526775827631353,0.008500395991291043,0.03657705482328311
NOR,Norway,-0.46455831964949323,0.480200476013124,0.007258233637110534,0.0495033230399713
NPL,Nepal,-1.4758267566204213,NaN,NA,0.03515759459696711
NZL,New Zealand,-0.5951048115294928,0.41747017484158255,-3.8665668978854484e-4,0.029823326360201467
OMN,Oman,-0.9313208595012723,0.6730758009685411,NA,0.049455472302657594
PAK,Pakistan,-1.420596735281341,NaN,NA,0.06973787402966992
PAN,Panama,-1.0343948844487971,0.5588591624389996,-0.003279892142239338,0.04397041478659958
PER,Peru,-1.114513976929908,0.46834501391276717,-0.007066058196386615,0.05326112121110783
PHL,Philippines,-1.3319924988093264,0.5635625310242176,-0.00428730241049502,0.04822455666726456
PRT,Portugal,-0.9952448044707791,0.3500274308025838,0.0026515374366560263,0.02761433526757173
PRY,Paraguay,-1.0231376363790043,0.5371110392734408,-0.0014748353407072479,0.03925612138118595
RWA,Rwanda,-0.7893072515001432,0.24158738553523995,0.007316175244127754,0.054806524305604405
SAU,Saudi Arabia,-1.3092777208165014,0.6751228421926496,-0.04832965879817086,0.054703818910099844
SDN,Sudan,-1.323318153212445,0.27529071436987984,-2.654199074215713e-4,0.03735401191645198
SEN,Senegal,-0.892043673373896,0.5100891278125348,-0.01150227723680064,0.040851613855920746
SGP,Singapore,-1.0266666958347195,0.5700219566933808,-6.441794694365122e-4,0.043837533507030464
SLE,Sierra Leone,-0.34536893041663913,0.4564512128179723,-0.0033317889183728244,0.04837510752536002
SLV,El Salvador,-0.9483753195076097,0.5157514062463021,-0.01388905680069541,0.057014001358766116
SOM,Somalia,-1.1009392275273064,NaN,NA,NaN
SUR,Suriname,-0.7812407259675609,0.5340380446583615,NA,0.055724700016004075
SWE,Sweden,-0.50613988402698,0.36280271131545294,0.007331976501359971,0.036217747663613416
SWZ,Eswatini,-0.8095177981951979,0.3729982281273061,0.010822409100243124,0.06329495128658083
SYR,Syrian Arab Republic,-0.19664029765741783,NaN,NA,0.04879354237345979
TCD,Chad,-1.1179787505551728,0.5307838297449052,NA,0.04192713354132139
TGO,Togo,-1.3197489551392985,0.39815042032436887,2.3831080020775275e-4,0.04133738792734221
THA,Thailand,-1.3636052838351889,0.5581968612968919,0.003953492333347297,0.059757118579000235
TTO,Trinidad and Tobago,-0.740225223702506,0.5279198260977863,-0.0020411449303079365,0.0474080836866051
TUN,Tunisia,-1.0524957855686607,0.46434806520119276,0.007326655962837769,0.04454770794836805
TUR,Türkiye,-1.3426189227056617,0.572631720919162,-0.003322918245917905,0.05065058905165643
TWN,Taiwan,-1.2369403853651897,0.27827788051217794,0.022455788476932526,0.04918763937894255
TZA,U.R. of Tanzania: Mainland,-1.1757157256477953,0.5214671348221598,-0.0018686005374013437,0.040937076380942024
UGA,Uganda,-1.050251124000984,NaN,NA,0.0566842535044998
URY,Uruguay,-0.7817178081055651,0.48624294670298707,0.0029412019599599493,0.031692763324826956
USA,United States,-0.7095477837121169,0.38626978639513243,0.005903267676225399,0.03756398899713532
VEN,Venezuela (Bolivarian Republic of),1.6079422573612232,0.5782949390122667,-0.023824772265595096,0.03930626530200244
YEM,Yemen,-0.34544196705943064,NaN,NA,0.0337940168700048
ZAF,South Africa,-1.1825555005831865,0.4208348123356701,0.0018432807259749495,0.04482609580736607
ZMB,Zambia,-0.8159476225008677,0.5736937667243179,0.006628772007382766,0.03964765192358755
ZWE,Zimbabwe,1.0566702009162832,0.4109694240614774,0.00547478508395427,0.03904235316440463
