number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
11,Egypt,1,0,0,907,2160,6,2.5,16.3,7,4415.343431060796,5.174847193864873,2.5655369385471527,7.175199339690151,13.747074669220472,-0.17806691915037304,0.6174436835572121,-0.0011642471111844577,0.06330271327169612,-2.4327639909883403
12,Ethiopia,1,1,0,533,608,2.8,2.3,5.4,1.1,1707.780736194744,4.8844241895602325,2.963651591970473,10.4686506849248,4.703488517614103,-0.8905758357587664,NaN,NA,0.03783595148706809,NA
13,Gabon,0,0,0,1307,5350,7,1.4,22.1,2.6,3157.626371734604,3.9422699663404392,2.497076977767909,16.206440038513392,8.75917034957797,-0.3123758368439758,0.6325705326162279,-0.008410057895243739,0.04624963679816574,-2.7676354311763594
14,"Gambia, The",0,0,0,799,NA,3.6,NA,18.1,1.5,862.6611024404651,3.2088546932447892,3.0833423265006044,10.929836996365342,4.66021585734863,-1.0097981413724437,NaN,NA,0.036600170424208045,NA
15,Ghana,1,0,0,1009,727,1,2.3,9.1,4.7,1715.2151880961096,3.657146093045527,2.7878232532817737,28.652098681777723,11.955222470746735,-1.5884820308515322,NaN,NA,0.05806625721743331,NA
16,Guinea,0,0,0,746,869,2.2,1.6,10.9,NA,1375.7778810622535,3.2232883417418368,2.2253230688067838,8.928107406245546,5.161866258965067,-1.0969526735647823,0.6949685507199979,NA,0.04706864908803255,NA
17,Ivory Coast,1,1,0,1386,1704,5.1,4.3,12.4,2.3,2933.337673263335,4.741907934615752,3.5028349163485073,10.443622809543747,7.832203419863563,-0.6791773251243268,0.4580904869362714,-0.006507271087409228,0.047233423916623,-2.580257404111835
18,Kenya,1,1,0,944,1329,4.8,3.4,17.4,2.4,1311.309816133354,4.0762061014794515,3.5346796919148105,11.76369951572269,12.124273694827544,-1.0582970017840945,0.47975588869303454,-3.458005848631096e-4,0.04529850569088013,-2.521991859478723
19,Lesotho,0,0,0,431,1483,6.8,1.9,12.6,2,1340.7199293973038,4.005246891508296,2.14851609920248,17.020637424138837,6.181978507632021,-1.1927517621536199,0.31823406175330826,0.002646164106195892,0.05398465599864722,-2.5495606195495983
20,Liberia,1,0,0,863,944,3.3,3,21.5,2.5,3167.3939633231694,2.069960030143081,2.5474770505561573,16.37860798587402,6.0007829899058684,-1.0397684921660337,NaN,NA,0.05420689259966215,NA
21,Madagascar,1,1,0,1194,975,1.4,2.2,7.1,2.6,621.7587673416334,2.0210382217075606,3.083195363738911,7.659459093702024,7.817559105329569,-0.7622034540046896,NaN,NA,0.03981683787424118,NA
22,Malawi,1,1,0,455,823,4.8,2.4,13.2,0.6,1725.2314078360798,5.099423283393012,2.89930951888433,15.846856136340651,6.835032795593986,-1.0702603662191004,NaN,NA,0.05565378797473386,NA
23,Mali,1,1,0,737,710,2.1,2.2,7.3,1,7242.550073988581,5.978285375919468,2.2031135698730386,10.759729516576048,4.44549101444657,-0.8387296235569904,NaN,NA,0.06460935197537765,NA
24,Mauritania,1,0,0,777,1038,3.3,2.2,25.6,1,1523.5403973307823,3.952378546447788,2.847239167387028,22.309688304085277,5.82199545180482,-1.4225071836889023,0.5291835367679598,-0.003440365513943666,0.03970400826074183,-2.7374372862886447
25,Mauritius,1,0,0,1973,2967,4.2,2.6,17.1,7.3,10201.114913292724,4.188323363629576,1.5063767913838788,14.104407007107516,14.081397476668325,-1.040713385271219,0.5131062744185331,0.0033749032002701185,0.045649355859495706,-2.7474977191855534
